
,"qua., 03/07","qui., 04/07","sex., 05/07","sáb., 06/07","dom., 07/07",CATEGORIAS,Valores médios (24h),
Mata Norte,Fraca a moderada,Fraca,Fraca,Fraca a moderada,Fraca a moderada,Sem chuva,<2 mm,
Metropolitana,Fraca a moderada,Fraca,Fraca a moderada,Fraca a moderada,Fraca a moderada,Fraca,2 a 10,
Mata Sul,Fraca a moderada,Fraca,Fraca a moderada,Fraca a moderada,Fraca a moderada,Fraca a moderada,10 a 30,
Agreste,Fraca a moderada,Sem chuva,Sem chuva,Fraca,Fraca,Moderada,30 a 50,
Sertão de Pernambuco,Sem chuva,Sem chuva,Sem chuva,Sem chuva,Sem chuva,Moderada a forte,50 a 100,
